MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
                  R2022b (9.13.0.2049777) 64-bit (glnxa64)
                              August 24, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Number of jobs (multiplexed): 2
Starting parallel pool (parpool) using the 'Processes' profile ...
Connected to the parallel pool (number of workers: 12).
Job number 300 of 512 done! Time = 12.5012 s
Job number 290 of 512 done! Time = 12.5824 s
Job number 310 of 512 done! Time = 12.578 s
Job number 320 of 512 done! Time = 12.5729 s
Job number 279 of 512 done! Time = 12.4466 s
Job number 371 of 512 done! Time = 13.0982 s
Job number 361 of 512 done! Time = 13.0966 s
Job number 351 of 512 done! Time = 13.0927 s
Job number 341 of 512 done! Time = 13.2222 s
Job number 391 of 512 done! Time = 12.6834 s
Job number 299 of 512 done! Time = 12.5181 s
Job number 381 of 512 done! Time = 13.1932 s
Job number 331 of 512 done! Time = 13.3224 s
Job number 289 of 512 done! Time = 12.5845 s
Job number 309 of 512 done! Time = 12.5685 s
Job number 319 of 512 done! Time = 12.5864 s
Job number 278 of 512 done! Time = 12.4454 s
Job number 370 of 512 done! Time = 13.1715 s
Job number 360 of 512 done! Time = 13.1224 s
Job number 390 of 512 done! Time = 12.6775 s
Job number 340 of 512 done! Time = 13.122 s
Job number 298 of 512 done! Time = 12.5872 s
Job number 350 of 512 done! Time = 13.1273 s
Job number 380 of 512 done! Time = 13.1047 s
Job number 288 of 512 done! Time = 12.5942 s
Job number 308 of 512 done! Time = 12.5806 s
Job number 330 of 512 done! Time = 13.2686 s
Job number 318 of 512 done! Time = 12.5835 s
Job number 277 of 512 done! Time = 12.4576 s
Job number 369 of 512 done! Time = 13.1348 s
Job number 359 of 512 done! Time = 13.2211 s
Job number 389 of 512 done! Time = 12.6806 s
Job number 297 of 512 done! Time = 12.5754 s
Job number 287 of 512 done! Time = 12.5766 s
Job number 349 of 512 done! Time = 13.2102 s
Job number 339 of 512 done! Time = 13.1424 s
Job number 379 of 512 done! Time = 13.1246 s
Job number 307 of 512 done! Time = 12.5924 s
Job number 317 of 512 done! Time = 12.5423 s
Job number 329 of 512 done! Time = 13.2252 s
Job number 401 of 512 done! Time = 12.4376 s
Job number 368 of 512 done! Time = 13.1057 s
Job number 358 of 512 done! Time = 13.1297 s
Job number 388 of 512 done! Time = 12.7381 s
Job number 406 of 512 done! Time = 12.5669 s
Job number 411 of 512 done! Time = 12.6058 s
Job number 348 of 512 done! Time = 13.1201 s
Job number 416 of 512 done! Time = 12.5805 s
Job number 338 of 512 done! Time = 13.1781 s
Job number 378 of 512 done! Time = 13.2026 s
Job number 421 of 512 done! Time = 12.5889 s
Job number 328 of 512 done! Time = 13.184 s
Job number 400 of 512 done! Time = 12.4645 s
Job number 367 of 512 done! Time = 13.0657 s
Job number 387 of 512 done! Time = 12.7312 s
Job number 405 of 512 done! Time = 12.5948 s
Job number 357 of 512 done! Time = 13.1221 s
Job number 410 of 512 done! Time = 12.6135 s
Job number 347 of 512 done! Time = 13.1395 s
Job number 415 of 512 done! Time = 12.5882 s
Job number 337 of 512 done! Time = 13.2028 s
Job number 420 of 512 done! Time = 12.5792 s
Job number 377 of 512 done! Time = 13.1831 s
Job number 327 of 512 done! Time = 13.2526 s
Job number 399 of 512 done! Time = 12.4769 s
Job number 409 of 512 done! Time = 12.5693 s
Job number 456 of 512 done! Time = 12.5698 s
Job number 404 of 512 done! Time = 12.63 s
Job number 426 of 512 done! Time = 13.13 s
Job number 431 of 512 done! Time = 13.1131 s
Job number 441 of 512 done! Time = 13.0574 s
Job number 414 of 512 done! Time = 12.6713 s
Job number 436 of 512 done! Time = 13.3434 s
Job number 419 of 512 done! Time = 12.6396 s
Job number 451 of 512 done! Time = 13.3572 s
Job number 446 of 512 done! Time = 13.2346 s
Job number 398 of 512 done! Time = 12.4467 s
Job number 455 of 512 done! Time = 12.7871 s
Job number 403 of 512 done! Time = 12.597 s
Job number 408 of 512 done! Time = 12.5953 s
Job number 425 of 512 done! Time = 13.1564 s
Job number 430 of 512 done! Time = 13.1487 s
Job number 413 of 512 done! Time = 12.5842 s
Job number 418 of 512 done! Time = 12.5889 s
Job number 440 of 512 done! Time = 13.1211 s
Job number 435 of 512 done! Time = 13.2487 s
Job number 450 of 512 done! Time = 13.4012 s
Job number 445 of 512 done! Time = 13.2518 s
Job number 397 of 512 done! Time = 12.4479 s
Job number 407 of 512 done! Time = 12.6069 s
Job number 454 of 512 done! Time = 12.6755 s
Job number 402 of 512 done! Time = 12.5953 s
Job number 424 of 512 done! Time = 13.1075 s
Job number 429 of 512 done! Time = 13.1871 s
Job number 412 of 512 done! Time = 12.5828 s
Job number 417 of 512 done! Time = 12.6318 s
Job number 439 of 512 done! Time = 13.0435 s
Job number 434 of 512 done! Time = 13.1609 s
Job number 449 of 512 done! Time = 13.1976 s
Job number 444 of 512 done! Time = 13.2299 s
Job number 459 of 512 done! Time = 12.5081 s
Job number 453 of 512 done! Time = 12.7714 s
Job number 462 of 512 done! Time = 12.5833 s
Job number 465 of 512 done! Time = 12.5984 s
Job number 468 of 512 done! Time = 12.6052 s
Job number 423 of 512 done! Time = 13.11 s
Job number 428 of 512 done! Time = 13.0958 s
Job number 471 of 512 done! Time = 12.6584 s
Job number 438 of 512 done! Time = 13.1162 s
Job number 433 of 512 done! Time = 13.1346 s
Job number 448 of 512 done! Time = 13.4754 s
Job number 443 of 512 done! Time = 13.5358 s
Job number 458 of 512 done! Time = 12.4908 s
Job number 452 of 512 done! Time = 12.6331 s
Job number 461 of 512 done! Time = 12.5568 s
Job number 464 of 512 done! Time = 12.5801 s
Job number 467 of 512 done! Time = 12.5765 s
Job number 422 of 512 done! Time = 13.0678 s
Job number 427 of 512 done! Time = 13.1445 s
Job number 470 of 512 done! Time = 12.6092 s
Job number 437 of 512 done! Time = 13.1001 s
Job number 432 of 512 done! Time = 13.1119 s
Job number 447 of 512 done! Time = 13.4157 s
Job number 442 of 512 done! Time = 13.4136 s
Job number 457 of 512 done! Time = 12.4355 s
Job number 460 of 512 done! Time = 12.5855 s
Job number 463 of 512 done! Time = 12.5954 s
Job number 480 of 512 done! Time = 12.5802 s
Job number 466 of 512 done! Time = 12.5705 s
Job number 474 of 512 done! Time = 13.15 s
Job number 469 of 512 done! Time = 12.6376 s
Job number 477 of 512 done! Time = 13.1842 s
Job number 486 of 512 done! Time = 13.3388 s
Job number 483 of 512 done! Time = 13.1472 s
Job number 489 of 512 done! Time = 13.2623 s
Job number 492 of 512 done! Time = 13.3488 s
Job number 493 of 512 done! Time = 12.471 s
Job number 494 of 512 done! Time = 12.6544 s
Job number 495 of 512 done! Time = 12.6161 s
Job number 479 of 512 done! Time = 12.6106 s
Job number 496 of 512 done! Time = 12.5603 s
Job number 473 of 512 done! Time = 13.221 s
Job number 497 of 512 done! Time = 12.6855 s
Job number 476 of 512 done! Time = 13.2574 s
Job number 485 of 512 done! Time = 12.9903 s
Job number 482 of 512 done! Time = 13.234 s
Job number 488 of 512 done! Time = 13.2086 s
Job number 491 of 512 done! Time = 13.26 s
